,City,Lat,Lon,Temp_C,Feels_like,Temp_min_C,Temp_max_C,Humidity,Wind_speed_mph,Clouds,Country,Time_zone
272,balikpapan,-1.27,116.83,25,29.25,25,25,100,3.1,75,ID,28800
273,yar-sale,66.83,70.83,10.2,6.19,10.2,10.2,70,4.11,0,RU,18000
274,leningradskiy,69.38,178.42,18.13,14.23,18.13,18.13,38,3.57,100,RU,43200
275,beaumont,30.09,-94.1,28.25,33.67,25.56,30,83,1.5,1,US,-18000
276,kyabe,9.45,18.94,22.6,26.06,22.6,22.6,94,1.46,100,TD,3600
277,gambela,8.25,34.58,21.1,24.12,21.1,21.1,94,1.03,100,ET,10800
278,condado,21.88,-79.84,25.71,29.81,25,27,88,2.1,100,CU,-14400
279,worms,49.64,8.36,16.89,15.31,16.11,17.78,63,2.24,0,DE,7200
280,araouane,18.9,-3.53,36.12,35.35,36.12,36.12,27,2.97,0,ML,0
281,maniitsoq,65.42,-52.9,12.03,7.74,12.03,12.03,74,5.31,37,GL,-7200
282,port-cartier,50.03,-66.87,18.48,18.82,18,18.89,77,1.5,75,CA,-14400
283,presidente bernardes,-22.01,-51.55,20.91,18.78,20.91,20.91,52,3.38,100,BR,-10800
284,cap-aux-meules,47.38,-61.86,18,17.06,18,18,77,3.1,20,CA,-10800
285,aldan,58.6,125.39,20.59,18.39,20.59,20.59,48,2.9,20,RU,32400
286,vaitupu,555,555,555,555,555,555,555,555,555,555,555
287,cayenne,4.93,-52.33,24,27.26,24,24,100,3.66,100,GF,-10800
288,port hardy,50.7,-127.42,18,13.93,18,18,68,6.7,20,CA,-25200
289,merke,42.87,73.18,23.97,19.99,23.97,23.97,26,3.61,100,KZ,21600
290,alofi,-19.06,-169.92,24,24.3,24,24,88,6.2,75,NU,-39600
291,vila velha,-20.33,-40.29,23.66,24.16,22.78,24.44,73,3.6,0,BR,-10800
292,porto velho,-8.76,-63.9,26,28.84,26,26,65,0.5,71,BR,-14400
293,nanortalik,60.14,-45.24,10.4,6.46,10.4,10.4,70,4.07,100,GL,-7200
294,mahina,-17.51,-149.49,28,29.04,28,28,58,3.1,40,PF,-36000
295,inhambane,-23.86,35.38,17.83,15.49,17.83,17.83,69,4.26,49,MZ,7200
296,beringovskiy,63.05,179.32,10.23,5.55,10.23,10.23,76,5.43,0,RU,43200
297,sataua,555,555,555,555,555,555,555,555,555,555,555
298,erzin,36.96,36.2,25.23,26.01,24,26,83,5.7,5,TR,10800
299,saint anthony,45.02,-93.22,19.45,18.69,18.89,20,68,2.6,90,US,-18000
300,san lazaro,18.04,-88.66,29.73,34.41,29,31,79,3.1,40,BZ,-21600
301,goure,13.98,10.27,27.22,30.6,27.22,27.22,70,1.34,100,NE,3600
302,castro,-24.79,-50.01,14.41,13.79,14.41,14.41,77,1.12,100,BR,-10800
303,belozerskoye,55.82,65.58,15.62,13.9,15.62,15.62,78,3.26,18,RU,18000
304,hami,42.8,93.45,29.29,25.87,29.29,29.29,24,3.77,99,CN,28800
305,tautira,-17.73,-149.15,28,29.04,28,28,58,3.1,40,PF,-36000
306,fuengirola,36.54,-4.62,22.22,23.37,20.56,24,83,3.1,40,ES,7200
307,ranong,9.97,98.63,25,30.04,25,25,94,1.08,20,TH,25200
308,payakumbuh,-0.22,100.63,22.81,26.1,22.81,22.81,87,0.94,100,ID,25200
309,sao pedro do sul,-29.62,-54.18,19.01,19.13,19.01,19.01,83,2.69,100,BR,-10800
310,gamba,-2.65,10,20.81,22.97,20.81,20.81,89,1.49,94,GA,3600
311,wuwei,37.93,102.64,20.17,17.2,20.17,20.17,61,5.3,100,CN,28800
312,neuquen,-38.95,-68.06,3,-1.55,3,3,93,4.1,90,AR,-10800
313,ahipara,-35.17,173.17,15.63,10.8,15.63,15.63,64,6.53,99,NZ,43200
314,sunbury,-37.58,144.73,8.39,6.45,7.22,9,76,1,75,AU,36000
315,port blair,11.67,92.75,27.48,32.35,27.48,27.48,77,0.6,86,IN,19800
